"coverage","country","lon","lat"
"1","BR","-52.965087890625","-26.165298479445838"
"1","BR","-52.76733398437499","-26.342652390525956"
"1","UY","-58.326416015625","-33.1283507095575"
"1","AR","-53.75610351562501","-26.125849769253726"
"1","BR","-50.32836914062499","-26.165298479445838"
"1","BR","-53.931884765625","-27.479034321315"
"1","UY","-55.79956054687501","-34.714524168633844"
"1","BR","-53.865966796875","-29.659415601982396"
"1","AR","-59.11743164062499","-34.42503563903827"
"1","PY","-55.05249023437501","-26.322959780290276"
"1","PY","-55.821533203125","-26.755420473948263"
"1","BR","-49.251708984375","-25.928406618499444"
"1","BR","-51.49291992187501","-28.256005180597665"
"1","UY","-57.161865234375","-34.35250617798356"
"1","BR","-49.16381835937501","-26.4213893055645"
"1","BR","-48.680419921875014","-27.362010119293444"
"1","BR","-53.514404296875","-29.964452395086365"
"1","BR","-50.943603515625","-29.64031994260065"
"1","AR","-58.50219726562501","-27.518014810368957"
"1","UY","-56.151123046875","-34.55181087715935"
"1","BR","-51.75659179687499","-29.52566997450537"
"1","BR","-50.460205078125","-29.238476636995408"
"1","PY","-57.117919921875","-26.4213893055645"
"1","BR","-49.866943359375","-28.81579944166599"
"1","BR","-48.438720703125","-27.440040034323392"
"1","BR","-52.28393554687499","-31.77487714698588"
"1","BR","-48.834228515625","-26.36234164992481"
"1","BR","-49.449462890625","-25.532528058874057"
"1","BR","-54.17358398437499","-31.024693663307385"
"1","AR","-55.03051757812501","-26.89267867100161"
"1","AR","-59.31518554687499","-26.51973488484075"
"1","BR","-50.174560546875","-29.77391341599187"
"1","UY","-58.238525390625","-33.51391893906514"
"1","BR","-49.383544921875","-27.401031962578156"
"1","BR","-48.614501953125","-28.004101393713434"
"1","AR","-59.403076171875","-33.87953652609128"
"1","BR","-51.42700195312499","-27.108033374229578"
"1","AR","-58.677978515625","-34.69646067977016"
"1","PY","-55.645751953125","-27.049341193268624"
"1","BR","-51.16333007812501","-29.64031994260065"
"1","BR","-53.38256835937499","-33.733476219547235"
"1","AR","-58.67797851562499","-27.498526291407003"
"1","UY","-56.08520507812499","-34.73258371293697"
"1","BR","-51.734619140625","-29.468296190586095"
"1","AR","-54.635009765625","-26.027169725183786"
"1","BR","-49.58129882812499","-27.634873358518313"
"1","BR","-53.18481445312499","-29.678507637924657"
"1","AR","-59.35913085937501","-26.204733849794764"
"1","UY","-56.23901367187499","-34.56990588872666"
"1","UY","-56.085205078125","-34.8228222334709"
"1","BR","-48.68041992187501","-25.453194570782593"
"1","PY","-56.50268554687501","-25.413508199760457"
"1","BR","-52.569580078125","-29.084976128535068"
"1","BR","-53.338623046875","-27.634873358518313"
"1","BR","-51.09741210937499","-29.468296190586095"
"1","BR","-49.64721679687501","-27.24486209279778"
"1","BR","-49.229736328125","-25.967921814391097"
"1","AR","-58.392333984375","-34.9309780938621"
"1","UY","-57.249755859375","-34.44315818321061"
"1","BR","-50.30639648437499","-27.771050758926727"
"1","BR","-53.38256835937499","-26.165298479445838"
"1","BR","-52.59155273437499","-29.27681587906782"
"1","BR","-51.295166015625","-29.983486262533845"
"1","BR","-50.48217773437499","-29.219301628031207"
"1","BR","-52.37182617187499","-29.77391341599187"
"1","BR","-51.141357421875","-29.353451218600878"
"1","AR","-58.19458007812501","-31.231591205062248"
"1","BR","-51.383056640625","-26.00742374171192"
"1","BR","-55.535888671875","-30.85507882322047"
"1","BR","-51.383056640625","-28.120438249253763"
"1","BR","-52.21801757812501","-32.09188214593342"
"1","BR","-48.74633789062501","-26.735798597235398"
"1","BR","-49.86694335937501","-26.066651722817888"
"1","BR","-52.767333984375","-28.101057521020227"
"1","BR","-52.569580078125014","-27.147144408338228"
